site_name,enrollment_rate,activation_week,screen_fail_rate,dropout_rate,cap
Memorial Sloan Kettering,3.2,4,35,3,
MD Anderson Cancer Center,2.8,6,40,4,
Johns Hopkins Hospital,1.5,8,30,2,
Mayo Clinic Rochester,2.1,3,38,3,
Cleveland Clinic,1.8,5,42,5,
Massachusetts General,2.5,4,33,2,
Stanford Medical Center,3.0,7,36,3,
Cedars-Sinai Medical Center,1.2,9,45,4,
UCSF Medical Center,2.0,5,37,3,
Duke University Medical,1.6,6,41,3,
Brigham and Women's,2.3,4,34,2,
Northwestern Memorial,1.9,7,39,4,
Mount Sinai Hospital,1.4,8,43,5,
UCLA Medical Center,2.7,3,32,2,
Emory University Hospital,1.1,9,46,4,
